segments,communication,combo_lift_bal,combo_lift_acct,best_individual_lift,synergy,n_customers
1000003 + 1000005,day1,0.3017066168228465,,0.2617382450127077,0.03996837181013879,132
1000003 + 1000001,day1,0.3220353023861311,,0.2617382450127077,0.06029705737342339,138
1000003 + 1000034,day1,0.2410439202947573,,0.2617382450127077,-0.020694324717950408,55
1000003 + 1000000,day1,0.2542774920229105,,0.2617382450127077,-0.007460752989797204,139
1000003 + 1000002,day1,0.28108079200806346,,0.2617382450127077,0.01934254699535576,131
1000003 + 1000007,day1,0.3005316002814251,,0.2617382450127077,0.03879335526871741,120
1000003 + 1000035,day1,0.272506755424196,,0.2617382450127077,0.010768510411488297,44
1000003 + 1000004,day1,0.2835354279320774,,0.2617382450127077,0.021797182919369718,155
1000003 + 1000032,day1,0.25294038874378866,,0.2617382450127077,-0.008797856268919046,44
1000003 + 1000006,day1,0.2610423993933025,,0.2617382450127077,-0.000695845619405222,139
1000003 + 1000008,day1,0.2682117186884252,,0.2617382450127077,0.006473473675717489,158
1000003 + 1000011,day1,0.2825995734735864,,0.2617382450127077,0.02086132846087868,44
1000003 + 1000028,day1,0.3084175449995717,,0.2617382450127077,0.04667929998686399,48
1000003 + 1000027,day1,0.3111307501662506,,0.2617382450127077,0.049392505153542876,63
1000003 + 1000015,day1,0.26377000604335216,,0.2617382450127077,0.0020317610306444522,43
1000003 + 1000033,day1,0.24511890892788246,,0.2617382450127077,-0.016619336084825242,37
1000003 + 1000010,day1,0.23974533736216316,,0.2617382450127077,-0.02199290765054454,69
1000003 + 1000019,day1,0.27323100606714446,,0.2617382450127077,0.011492761054436751,49
1000003 + 1000009,day1,0.26469835037715617,,0.2617382450127077,0.002960105364448462,135
1000003 + 1000012,day1,0.2841537763708607,,0.2617382450127077,0.022415531358152996,41
1000003 + 1000039,day1,0.2455131242492084,,0.2617382450127077,-0.0162251207634993,39
1000003 + 1000030,day1,0.2327057144893653,,0.2617382450127077,-0.029032530523342398,57
1000003 + 1000038,day1,0.26759188055637884,,0.2617382450127077,0.005853635543671132,55
1000003 + 1000036,day1,0.2804598823426649,,0.2617382450127077,0.018721637329957186,46
1000005 + 1000001,day1,0.271819527000556,,0.25181052867819925,0.020008998322356752,139
1000005 + 1000034,day1,0.2617525928797136,,0.25181052867819925,0.009942064201514333,40
1000005 + 1000000,day1,0.22765317477088268,,0.25181052867819925,-0.024157353907316576,130
1000005 + 1000002,day1,0.2716491027309609,,0.25181052867819925,0.019838574052761626,142
1000005 + 1000007,day1,0.2633443824323011,,0.25181052867819925,0.011533853754101875,113
1000005 + 1000035,day1,0.24658272465395695,,0.25181052867819925,-0.005227804024242305,43
1000005 + 1000004,day1,0.26221860303100136,,0.25181052867819925,0.01040807435280211,144
1000005 + 1000032,day1,0.3058659391559733,,0.25181052867819925,0.05405541047777407,34
1000005 + 1000006,day1,0.29762569149402585,,0.25181052867819925,0.04581516281582659,149
1000005 + 1000008,day1,0.24205011982656516,,0.25181052867819925,-0.009760408851634095,135
1000005 + 1000011,day1,0.25101712610929994,,0.25181052867819925,-0.0007934025688993152,40
1000005 + 1000028,day1,0.3210411707558751,,0.25181052867819925,0.06923064207767587,41
1000005 + 1000027,day1,0.27497508017185873,,0.25181052867819925,0.02316455149365948,51
1000005 + 1000015,day1,0.20973591039212472,,0.25181052867819925,-0.04207461828607453,49
1000005 + 1000033,day1,0.27816647125255,,0.25181052867819925,0.026355942574350755,45
1000005 + 1000010,day1,0.23999387496437136,,0.25181052867819925,-0.011816653713827896,51
1000005 + 1000019,day1,0.24887234780204148,,0.25181052867819925,-0.00293818087615777,50
1000005 + 1000009,day1,0.23653835665690964,,0.25181052867819925,-0.01527217202128961,137
1000005 + 1000012,day1,0.28369607165593613,,0.25181052867819925,0.03188554297773688,57
1000005 + 1000039,day1,0.2267436748402648,,0.25181052867819925,-0.025066853837934444,50
1000005 + 1000030,day1,0.22908008987599887,,0.25181052867819925,-0.02273043880220038,41
1000005 + 1000038,day1,0.24996094865549176,,0.25181052867819925,-0.0018495800227074921,47
1000005 + 1000036,day1,0.2567242223214571,,0.25181052867819925,0.004913693643257833,41
1000001 + 1000034,day1,0.2454247472614753,,0.25005922808693326,-0.004634480825457948,52
1000001 + 1000000,day1,0.34362582512022094,,0.25005922808693326,0.09356659703328768,134
1000001 + 1000002,day1,0.26496926397880605,,0.25005922808693326,0.014910035891872786,139
1000001 + 1000007,day1,0.24413114526809976,,0.25005922808693326,-0.005928082818833502,133
1000001 + 1000035,day1,0.22408006882640386,,0.25005922808693326,-0.025979159260529405,56
1000001 + 1000004,day1,0.234530076073881,,0.25005922808693326,-0.015529152013052272,153
1000001 + 1000032,day1,0.26948948247147175,,0.25005922808693326,0.019430254384538492,47
1000001 + 1000006,day1,0.2587221770266766,,0.25005922808693326,0.008662948939743342,130
1000001 + 1000008,day1,0.22636939815179707,,0.25005922808693326,-0.023689829935136186,143
1000001 + 1000011,day1,0.2253691786973349,,0.25005922808693326,-0.024690049389598373,50
